bid_id,ad_id,buyer_id,date_bid,bid_price
0,0,12,2011-05-22,211873514
1,1,0,2015-09-11,264674498
2,1,6,1997-04-22,133578127
3,1,4,1979-08-29,170290812
4,4,1,2005-12-24,59340848
5,4,3,2023-05-22,90669711
6,4,0,1987-09-18,225111449
7,4,9,1997-07-09,101171369
8,4,5,1996-10-24,125175362
9,5,14,1980-02-07,182829333
10,5,3,2005-11-26,276367746
11,5,13,1989-07-03,222170413
12,5,9,1971-07-29,218334010
13,5,13,2005-05-24,281406168
14,6,2,2022-10-14,85576625
15,7,0,1995-05-10,157920194
16,7,14,1974-05-24,200651661
17,8,5,2008-03-15,147647934
18,8,10,1974-07-03,62304781
19,8,8,1986-09-14,213450070
20,10,3,1983-09-19,281568933
21,10,12,1996-12-13,157920961
22,10,12,1986-03-04,151902566
23,10,4,1980-11-21,254086700
24,10,10,1979-02-24,222550149
25,12,12,1989-12-05,249092498
26,12,5,2019-10-21,269428818
27,12,11,2023-06-19,93562466
28,12,10,2011-03-14,289244394
29,12,6,2007-07-11,132434001
30,13,0,2021-11-17,139017590
31,13,7,1986-01-28,186118491
32,13,3,1972-10-31,210822435
33,13,12,2019-03-07,207458826
34,13,13,2005-02-19,290656590
35,14,0,2015-07-10,233821985
36,15,5,2009-12-28,143226170
37,16,1,1989-09-04,199631773
38,18,1,1973-02-02,131516918
39,18,2,2014-10-10,93441865
40,18,9,1975-04-21,143564178
41,18,10,1996-06-04,166410887
42,18,2,1976-06-17,280325918
43,19,6,2020-03-18,236755028
44,21,7,2004-10-15,267100584
45,21,5,2024-06-25,194357877
46,21,4,1986-01-11,294160398
47,21,8,1971-06-17,97675078
48,22,14,2024-02-07,255631453
49,22,0,2007-09-09,297104092
50,22,13,1990-07-10,274185637
51,22,9,1988-09-25,205928808
52,22,11,1987-01-29,250787722
53,23,8,2018-06-13,217058854
54,23,9,2002-09-12,120600380
55,23,11,2006-02-05,219267597
56,24,1,2008-03-25,283266980
57,24,7,1980-04-08,259232529
58,24,12,2010-05-27,107499329
59,24,5,2003-02-23,193201447
60,24,12,1986-02-13,86832889
61,25,12,2001-04-30,268878288
62,25,12,1991-04-14,288558625
63,27,1,2016-07-08,240912685
64,27,13,2010-11-03,267148460
65,27,8,2012-05-30,112039900
66,27,10,1983-03-11,190061612
67,27,4,2010-05-02,271934197
68,28,7,2009-04-20,237014030
69,29,6,1990-01-25,270256693
70,30,0,1979-06-02,93367947
71,30,0,1998-09-23,186606211
72,30,12,1984-01-10,239088614
73,30,3,2001-03-24,262349800
74,31,13,1994-06-14,89538400
75,31,11,1997-05-24,112942541
76,32,7,2007-11-03,206765221
77,32,0,2012-09-12,188115702
78,32,9,2005-03-07,248930537
79,32,5,1978-05-02,187265787
80,32,12,1996-11-27,103341465
81,33,14,2022-11-24,130060652
82,33,11,1997-08-11,250071714
83,33,14,1999-10-31,253355468
84,35,3,2002-09-02,123131823
85,39,13,1980-06-02,298890361
86,39,12,1975-11-22,223019396
87,39,9,2022-04-20,51943032
88,40,2,2017-02-09,91785595
89,40,10,1986-11-24,238292568
90,40,6,1970-11-04,139632443
91,40,12,2016-12-03,89531300
92,41,9,2011-11-03,179227933
93,41,8,2016-01-09,171426226
94,41,14,2016-10-22,224786330
95,41,14,2021-04-14,249401323
96,42,10,2000-09-12,207014311
97,43,8,1987-07-01,256397159
98,43,9,2018-12-20,248102673
